tab 	magic_measurements
er_analyst_mail_names	er_citation_names	er_location_name	er_sample_name	er_site_name	er_specimen_name	magic_experiment_name	magic_instrument_codes	magic_method_codes	magic_software_packages	measurement	measurement_csd	measurement_dec	measurement_description	measurement_flag	measurement_inc	measurement_magn_moment	measurement_number	measurement_positions	measurement_sd_x	measurement_sd_y	measurement_sd_z	measurement_standard	measurement_temp	sequence	treatment_ac_field	treatment_dc_field	treatment_dc_field_phi	treatment_dc_field_theta	treatment_temp
None	This study	Duluth Complex	DA2-1d	DA2	DA2-1d	DA2-1d_LP-DIR-AF	IRM_2G 2022-06-10 12:00:00	LT-NO:LP-DIR-AF	pmagpy-4.2.24-1	DA2-1d_LP-DIR-AF-1	0.1	64.5	None	g	-51.8	2.03e-05	0	8	1e-08	1e-08	1e-08	u	273	1	0.0	0	0.0	0.0	273
None	This study	Duluth Complex	DA2-1d	DA2	DA2-1d	DA2-1d_LP-DIR-AF	IRM_2G 2022-06-10 12:00:00	LT-NO:LP-DIR-AF	pmagpy-4.2.24-1	DA2-1d_LP-DIR-AF-2	0.1	64.4	None	g	-51.8	2.03e-05	1	8	1e-08	1e-08	1e-08	u	273	2	0.0	0	0.0	0.0	273
None	This study	Duluth Complex	DA2-1d	DA2	DA2-1d	DA2-1d_LP-DIR-AF	IRM_2G 2022-06-10 12:00:00	LT-NO:LP-DIR-AF	pmagpy-4.2.24-1	DA2-1d_LP-DIR-AF-3	0.1	64.4	None	g	-51.8	2.03e-05	2	8	1e-08	1e-08	1e-08	u	273	3	0.0	0	0.0	0.0	273
None	This study	Duluth Complex	DA2-1d	DA2	DA2-1d	DA2-1d_LP-DIR-AF	IRM_2G 2022-06-10 12:00:00	LT-NO:LP-DIR-AF	pmagpy-4.2.24-1	DA2-1d_LP-DIR-AF-4	0.1	64.4	None	g	-51.8	2.03e-05	3	8	1e-08	1e-08	1e-08	u	273	4	0.0	0	0.0	0.0	273
None	This study	Duluth Complex	DA2-1d	DA2	DA2-1d	DA2-1d_LP-DIR-AF	IRM_2G 2022-06-10 12:00:00	LT-AF-Z:LP-DIR-AF	pmagpy-4.2.24-1	DA2-1d_LP-DIR-AF-5	0.1	64.5	None	g	-51.8	2.02e-05	4	8	1e-08	1e-08	1e-08	u	273	5	0.0025	0	0.0	0.0	273
None	This study	Duluth Complex	DA2-1d	DA2	DA2-1d	DA2-1d_LP-DIR-AF	IRM_2G 2022-06-10 12:00:00	LT-AF-Z:LP-DIR-AF	pmagpy-4.2.24-1	DA2-1d_LP-DIR-AF-6	0.1	64.6	None	g	-51.7	2.02e-05	5	8	1e-08	1e-08	1e-08	u	273	6	0.003	0	0.0	0.0	273
None	This study	Duluth Complex	DA2-1d	DA2	DA2-1d	DA2-1d_LP-DIR-AF	IRM_2G 2022-06-10 12:00:00	LT-AF-Z:LP-DIR-AF	pmagpy-4.2.24-1	DA2-1d_LP-DIR-AF-7	0.1	64.6	None	g	-51.6	1.99e-05	6	8	1e-08	1e-08	1e-08	u	273	7	0.004	0	0.0	0.0	273
None	This study	Duluth Complex	DA2-1d	DA2	DA2-1d	DA2-1d_LP-DIR-AF	IRM_2G 2022-06-10 12:00:00	LT-AF-Z:LP-DIR-AF	pmagpy-4.2.24-1	DA2-1d_LP-DIR-AF-8	0.1	64.6	None	g	-51.4	1.96e-05	7	8	1e-08	1e-08	1e-08	u	273	8	0.005	0	0.0	0.0	273
None	This study	Duluth Complex	DA2-1d	DA2	DA2-1d	DA2-1d_LP-DIR-AF	IRM_2G 2022-06-10 12:00:00	LT-AF-Z:LP-DIR-AF	pmagpy-4.2.24-1	DA2-1d_LP-DIR-AF-9	0.1	64.6	None	g	-51.1	1.9e-05	8	8	1e-08	1e-08	1e-08	u	273	9	0.006	0	0.0	0.0	273
None	This study	Duluth Complex	DA2-1d	DA2	DA2-1d	DA2-1d_LP-DIR-AF	IRM_2G 2022-06-10 12:00:00	LT-AF-Z:LP-DIR-AF	pmagpy-4.2.24-1	DA2-1d_LP-DIR-AF-10	0.1	64.6	None	g	-50.5	1.82e-05	9	8	1e-08	1e-08	1e-08	u	273	10	0.006999999999999999	0	0.0	0.0	273
None	This study	Duluth Complex	DA2-1d	DA2	DA2-1d	DA2-1d_LP-DIR-AF	IRM_2G 2022-06-10 12:00:00	LT-AF-Z:LP-DIR-AF	pmagpy-4.2.24-1	DA2-1d_LP-DIR-AF-11	0.1	64.5	None	g	-49.8	1.7199999999999998e-05	10	8	1e-08	1e-08	1e-08	u	273	11	0.008	0	0.0	0.0	273
None	This study	Duluth Complex	DA2-1d	DA2	DA2-1d	DA2-1d_LP-DIR-AF	IRM_2G 2022-06-10 12:00:00	LT-AF-Z:LP-DIR-AF	pmagpy-4.2.24-1	DA2-1d_LP-DIR-AF-12	0.1	64.4	None	g	-48.8	1.6100000000000002e-05	11	8	1e-08	1e-08	1e-08	u	273	12	0.009000000000000001	0	0.0	0.0	273
None	This study	Duluth Complex	DA2-1d	DA2	DA2-1d	DA2-1d_LP-DIR-AF	IRM_2G 2022-06-10 12:00:00	LT-AF-Z:LP-DIR-AF	pmagpy-4.2.24-1	DA2-1d_LP-DIR-AF-13	0.1	64.1	None	g	-47.0	1.44e-05	12	8	1e-08	1e-08	1e-08	u	273	13	0.01	0	0.0	0.0	273
None	This study	Duluth Complex	DA2-1d	DA2	DA2-1d	DA2-1d_LP-DIR-AF	IRM_2G 2022-06-10 12:00:00	LT-AF-Z:LP-DIR-AF	pmagpy-4.2.24-1	DA2-1d_LP-DIR-AF-14	0.1	64.0	None	g	-45.4	1.33e-05	13	8	1e-08	1e-08	1e-08	u	273	14	0.011000000000000001	0	0.0	0.0	273
