[Header]
; MPMS3 Data File (default extension .dat)
; Copyright (c) 2007, Quantum Design, Inc. All rights reserved.
TITLE,
FILEOPENTIME,3863746657.11536,06/07/2022,7:55 am
BYAPP,MPMS3 w/ AC,1.0,1.1
INFO,MPMS3 Measurement Release 1.1.16 Build 424, MultiVu Release 2.3.4.19,APPNAME
INFO,Linear Motor Servo Controller,MOTOR_MODULE_NAME
INFO,3101-100 N2,MOTOR_HW_VERSION
INFO,,MOTOR_SERIAL_NUMBER
INFO,01.04.28,MOTOR_SOFTWARE_VERSION
INFO,Quantum Design Squid Module,SQUID_MODULE_NAME
INFO,3101-501 B0,SQUID_HW_VERSION
INFO,SQM327,SQUID_SERIAL_NUMBER
INFO,01.03.04,SQUID_SOFTWARE_VERSION
INFO,Quantum Design VSM Oven,OVEN_MODULE_NAME
INFO,3101-201 A3,OVEN_HW_VERSION
INFO,OVB365,OVEN_SERIAL_NUMBER
INFO,01.07.07,OVEN_SOFTWARE_VERSION
INFO,SQUID AC,AC_MODULE_NAME
INFO,3101-401 G0,AC_HW_VERSION
INFO,SAC220,AC_SERIAL_NUMBER
INFO,SQUID AC 00.95.07,AC_SOFTWARE_VERSION
INFO,TCI344,COIL_SERIAL_NUMBER
INFO,0,MOMENT_UNITS
INFO,DX1-1r,SAMPLE_MATERIAL
INFO,SSRM2022C,SAMPLE_COMMENT
INFO,31.716,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,,SAMPLE_MOLECULAR_WEIGHT
INFO,,SAMPLE_SIZE
INFO,,SAMPLE_SHAPE
INFO,Straw,SAMPLE_HOLDER
INFO,Standard,SAMPLE_HOLDER_DETAIL
INFO,68.13,SAMPLE_OFFSET
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
FIELDGROUP, VSM,2,3,4,5,6,8,9,10,11,14,15
FIELDGROUP, DC, 2,3,4,14,56,57,58,59,60,61,62,63,64,65,66,67,68,69
FIELDGROUP, AC, 2,3,4,11,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
STARTUPGROUP, All
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Lockin Signal' (V),Lockin Signal (V),Range,M. Quad. Signal (emu),AC Moment (emu),AC M. Std Err. (emu),AC Phase (deg),AC Phase Std. Err. (deg),AC Susceptibility (emu/Oe),AC Suscept. Std Err. (emu/Oe),AC X' (emu/Oe),AC X' Std Err. (emu/Oe),AC X'' (emu/Oe),AC X'' Std Err. (emu/Oe),AC Drive (Oe),AC Frequency (Hz),AC Averaging Time (sec),AC Cycles,AC Range,AC Measure Type,AC Signal' (V),AC Signal'' (V),AC Trim Coil Ratio,AC Trim Coil Phase,Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),Measure Count,Measurement Number,SQUID Status (code),Motor Status (code),Measure Status (code),Motor Current (amps),Motor Temp. (C),Temp. Status (code),Field Status (code),Chamber Status (code),Chamber Temp (K),Redirection State,Average Temp (K),Rotation Angle (deg),Rotator state,DC Moment Fixed Ctr (emu),DC Moment Err Fixed Ctr (emu),DC Moment Free Ctr (emu),DC Moment Err Free Ctr (emu),DC Fixed Fit,DC Free Fit,DC Calculated Center (mm),DC Calculated Center Err (mm),DC Scan Length (mm),DC Scan Time (s),DC Number of Points,DC Squid Drift,DC Min V (V),DC Max V (V),DC Scans per Measure,Map 01,Map 02,Map 03,Map 04,Map 05,Map 06,Map 07,Map 08,Map 09,Map 10,Map 11,Map 12,Map 13,Map 14,Map 15,Map 16
,3863748635.65899,9.99975872039795,25.3343811035156,0.000591560613179446,1.03877425157402E-7,1,5,12.9061126708984,4.9767533512041,36.9400009512901,0.767353448655989,0.112857354150808,1,9.41208649079848E-8,,,,,,,,,,,,,,,,,,,,,9.99975872039795,9.99975872039795,25.3343811035156,25.3343811035156,50.1551480077457,5.37306644808824,5.09119415283203,65,1,0,0,1,0.273895263671875,29.8142719268799,1,1,1,9.99975872039795,0,9.99975872039795,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3863748640.48967,10.3069882392883,25.3343811035156,0.000787955529796114,1.38440493977009E-7,1,5,12.9061126708984,4.97676915622639,36.9400009512901,1.02208225992539,0.150550275824806,1,2.98217371252575E-7,,,,,,,,,,,,,,,,,,,,,10.0384511947632,10.5755252838135,25.3343811035156,25.3343811035156,50.0566628143226,5.37154197799961,5.15557384490967,65,1,0,0,1,0.2783203125,29.8142719268799,6,1,1,10.5755252838135,0,10.3069882392883,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3863748672.64802,15.1245222091675,25.3343811035156,0.000636758244683388,1.45418372672825E-6,1,5,12.9061126708984,4.97670808360317,36.9400009512901,0.825946186368146,0.121652882586667,1,2.35698139456792E-7,,,,,,,,,,,,,,,,,,,,,15.1245222091675,15.1245222091675,25.3343811035156,25.3343811035156,50.0941809832457,5.37139442460517,5.4953179359436,65,1,0,0,1,0.270309448242187,29.3255138397217,6,1,1,15.1245222091675,0,15.1245222091675,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3863748703.78933,20.0690383911133,25.3343811035156,0.000391516218044454,9.10355822261289E-7,1,5,12.9061126708984,4.97669994929812,36.9400009512901,0.507854438538302,0.0746931229379652,1,6.31945986716969E-8,,,,,,,,,,,,,,,,,,,,,20.0690383911133,20.0690383911133,25.3343811035156,25.3343811035156,50.1668724355342,5.37168857662998,5.78834199905395,65,1,0,0,1,0.275726318359375,30.7917900085449,2,1,1,20.0690383911133,0,20.0690383911133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3863748736.10729,25.0567283630371,25.3343811035156,0.000254198722090398,6.45220107901885E-7,1,5,12.9061126708984,4.97667046881914,36.9400009512901,0.329758967795284,0.0483022403213947,1,-1.07883629819419E-7,,,,,,,,,,,,,,,,,,,,,25.0567283630371,25.0567283630371,25.3343811035156,25.3343811035156,50.1008248256591,5.37235976826068,5.99488592147827,65,1,0,0,1,0.2667236328125,30.7917900085449,2,1,1,25.0567283630371,0,25.0567283630371,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3863748768.33903,30.0319786071777,25.3343811035156,0.000159700532557586,4.32142174479925E-7,1,5,12.9061126708984,4.97666364904998,36.9400009512901,0.207172338053579,0.0303361564980744,1,-7.52579013552201E-8,,,,,,,,,,,,,,,,,,,,,30.0319786071777,30.0319786071777,25.3343811035156,25.3343811035156,50.1148941390053,5.37199392348273,6.15312147140503,65,1,0,0,1,0.276107788085938,30.7917900085449,2,1,1,30.0319786071777,0,30.0319786071777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3863748800.50108,35.0513801574707,25.3343811035156,9.00078500686708E-5,2.4703616576229E-7,1,5,12.9061126708984,4.97663175458904,36.9400009512901,0.116754677731544,0.0171479053111749,1,-3.49812255620984E-9,,,,,,,,,,,,,,,,,,,,,35.0513801574707,35.0513801574707,25.3343811035156,25.3343811035156,50.1152849532649,5.37166590579554,6.27865982055664,65,1,0,0,1,0.285568237304687,30.7917900085449,2,1,1,35.0513801574707,0,35.0513801574707,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3863748832.78675,40.0676612854004,25.3343811035156,6.07789454965167E-5,9.10152292169741E-8,1,5,12.9061126708984,4.97662935359079,36.9499996304512,0.0788449379520477,0.0115459088344354,1,-2.8129708597915E-8,,,,,,,,,,,,,,,,,,,,,40.0676612854004,40.0676612854004,25.3343811035156,25.3343811035156,50.1461592797745,5.37195833611137,6.38045406341553,65,1,0,0,1,0.268630981445313,30.7917900085449,2,1,1,40.0676612854004,0,40.0676612854004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3863748864.31099,45.048210144043,25.3343811035156,5.22582526235497E-5,1.16550498839422E-8,1,5,12.9061126708984,4.97658736892233,36.9499996304512,0.0677940489524948,0.00990463894448761,1,-4.1542480172341E-8,,,,,,,,,,,,,,,,,,,,,45.048210144043,45.048210144043,25.3343811035156,25.3343811035156,50.1191930958611,5.37209546109904,6.47542715072632,65,1,0,0,1,0.27618408203125,30.7917900085449,2,1,1,45.048210144043,0,45.048210144043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3863748896.04302,50.0117034912109,25.3343811035156,5.11190938409696E-5,8.59357044564207E-9,1,5,12.9061126708984,4.97655806561102,36.9599983096123,0.0663153612434253,0.00969083146103008,1,-3.89559419479903E-8,,,,,,,,,,,,,,,,,,,,,50.0117034912109,50.0117034912109,25.3343811035156,25.3343811035156,50.1344348519861,5.37220197158557,6.56443309783935,65,1,0,0,1,0.27740478515625,30.7917900085449,2,1,1,50.0117034912109,0,50.0117034912109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3863748928.25269,55.0808563232422,25.3343811035156,5.02997693814056E-5,7.93571214332595E-9,1,5,12.9061126708984,4.97654510332015,36.9599983096123,0.0652547243902195,0.00951853317857993,1,-5.13920487288739E-8,,,,,,,,,,,,,,,,,,,,,55.0808563232422,55.0808563232422,25.3343811035156,25.3343811035156,50.0629158424764,5.37249136727734,6.61925363540649,65,1,0,0,1,0.277557373046875,31.7693061828613,2,1,1,55.0808563232422,0,55.0808563232422,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
