[Header]
; MPMS3 Data File (default extension .dat)
; Copyright (c) 2007, Quantum Design, Inc. All rights reserved.
TITLE,
FILEOPENTIME,3863236258.03999,06/01/2022,10:09 am
BYAPP,MPMS3 w/ AC,1.0,1.1
INFO,MPMS3 Measurement Release 1.1.16 Build 424, MultiVu Release 2.3.4.19,APPNAME
INFO,Linear Motor Servo Controller,MOTOR_MODULE_NAME
INFO,3101-100 N2,MOTOR_HW_VERSION
INFO,,MOTOR_SERIAL_NUMBER
INFO,01.04.28,MOTOR_SOFTWARE_VERSION
INFO,Quantum Design Squid Module,SQUID_MODULE_NAME
INFO,3101-501 B0,SQUID_HW_VERSION
INFO,SQM327,SQUID_SERIAL_NUMBER
INFO,01.03.04,SQUID_SOFTWARE_VERSION
INFO,Quantum Design VSM Oven,OVEN_MODULE_NAME
INFO,3101-201 A3,OVEN_HW_VERSION
INFO,OVB365,OVEN_SERIAL_NUMBER
INFO,01.07.07,OVEN_SOFTWARE_VERSION
INFO,SQUID AC,AC_MODULE_NAME
INFO,3101-401 G0,AC_HW_VERSION
INFO,SAC220,AC_SERIAL_NUMBER
INFO,SQUID AC 00.95.07,AC_SOFTWARE_VERSION
INFO,TCI344,COIL_SERIAL_NUMBER
INFO,0,MOMENT_UNITS
INFO,DA2-R,SAMPLE_MATERIAL
INFO,DA2-R,SAMPLE_COMMENT
INFO,,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,,SAMPLE_MOLECULAR_WEIGHT
INFO,,SAMPLE_SIZE
INFO,,SAMPLE_SHAPE
INFO,Straw,SAMPLE_HOLDER
INFO,Standard,SAMPLE_HOLDER_DETAIL
INFO,63.74,SAMPLE_OFFSET
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
FIELDGROUP, VSM,2,3,4,5,6,8,9,10,11,14,15
FIELDGROUP, DC, 2,3,4,14,56,57,58,59,60,61,62,63,64,65,66,67,68,69
FIELDGROUP, AC, 2,3,4,11,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
STARTUPGROUP, All
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Lockin Signal' (V),Lockin Signal (V),Range,M. Quad. Signal (emu),AC Moment (emu),AC M. Std Err. (emu),AC Phase (deg),AC Phase Std. Err. (deg),AC Susceptibility (emu/Oe),AC Suscept. Std Err. (emu/Oe),AC X' (emu/Oe),AC X' Std Err. (emu/Oe),AC X'' (emu/Oe),AC X'' Std Err. (emu/Oe),AC Drive (Oe),AC Frequency (Hz),AC Averaging Time (sec),AC Cycles,AC Range,AC Measure Type,AC Signal' (V),AC Signal'' (V),AC Trim Coil Ratio,AC Trim Coil Phase,Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),Measure Count,Measurement Number,SQUID Status (code),Motor Status (code),Measure Status (code),Motor Current (amps),Motor Temp. (C),Temp. Status (code),Field Status (code),Chamber Status (code),Chamber Temp (K),Redirection State,Average Temp (K),Rotation Angle (deg),Rotator state,DC Moment Fixed Ctr (emu),DC Moment Err Fixed Ctr (emu),DC Moment Free Ctr (emu),DC Moment Err Free Ctr (emu),DC Fixed Fit,DC Free Fit,DC Calculated Center (mm),DC Calculated Center Err (mm),DC Scan Length (mm),DC Scan Time (s),DC Number of Points,DC Squid Drift,DC Min V (V),DC Max V (V),DC Scans per Measure,Map 01,Map 02,Map 03,Map 04,Map 05,Map 06,Map 07,Map 08,Map 09,Map 10,Map 11,Map 12,Map 13,Map 14,Map 15,Map 16
,3863237752.30276,10.0001192092896,25.2842388153076,0.000613166172716881,1.67035181926542E-7,1,5,12.9061126708984,4.97610709474866,36.8800014257431,0.795185244633051,0.117290929044287,1,3.54357984457714E-7,,,,,,,,,,,,,,,,,,,,,10.0001192092896,10.0001192092896,25.2842388153076,25.2842388153076,49.9527062212649,5.36624061874165,5.08714866638184,65,1,0,0,1,0.287017822265625,29.3255138397217,1,1,1,10.0001192092896,0,10.0001192092896,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3863237757.27159,10.2881169319153,25.2842388153076,0.000684716885404162,1.84657812876889E-7,1,5,12.9061126708984,4.97608619966592,36.8800014257431,0.887974640514166,0.130949539989328,1,3.74611829532916E-7,,,,,,,,,,,,,,,,,,,,,10.0036754608154,10.5725584030151,25.2842388153076,25.2842388153076,49.9452807503322,5.36497073993986,5.13725566864014,65,1,0,0,1,0.287094116210938,29.8142719268799,6,1,1,10.5725584030151,0,10.2881169319153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3863237763.98595,11.1524891853333,25.2842388153076,0.000683863337113371,2.15278435913567E-7,1,5,12.9061126708984,4.97605343894142,36.8800014257431,0.886872389044367,0.130697366724199,1,3.06505866014855E-7,,,,,,,,,,,,,,,,,,,,,11.0332584381104,11.2717199325562,25.2842388153076,25.2842388153076,49.9843621762937,5.3651819428194,5.19975137710571,65,1,0,0,1,0.267410278320313,29.8142719268799,6,1,1,11.2717199325562,0,11.1524891853333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3863237769.73877,12.0293164253235,25.2842388153076,0.000681639295420724,1.89389486588995E-7,1,5,12.9061126708984,4.97603048940797,36.8800014257431,0.883984874568791,0.130254561115147,1,2.9247074818081E-7,,,,,,,,,,,,,,,,,,,,,12.0127468109131,12.0458860397339,25.2842388153076,25.2842388153076,50.0277425591111,5.36518676916286,5.26437282562256,65,1,0,0,1,0.267333984375,29.8142719268799,6,1,1,12.0458860397339,0,12.0293164253235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3863237776.86127,13.0987148284912,25.2842388153076,0.000677862171204452,2.3650811213714E-7,1,5,12.9061126708984,4.97601632954537,36.8800014257431,0.879067173857338,0.129639901353796,1,3.73838632554305E-7,,,,,,,,,,,,,,,,,,,,,13.0987148284912,13.0987148284912,25.2842388153076,25.2842388153076,50.0293058161495,5.36527101433943,5.3474702835083,65,1,0,0,1,0.266799926757813,29.8142719268799,6,1,1,13.0987148284912,0,13.0987148284912,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3863237782.71728,14.0094890594482,25.2842388153076,0.000672643825036701,2.29375165784322E-7,1,5,12.9061126708984,4.97602930278332,36.8800014257431,0.872316128236514,0.128553714220053,1,3.02599528768242E-7,,,,,,,,,,,,,,,,,,,,,14.0094890594482,14.0094890594482,25.2842388153076,25.2842388153076,49.9757642625822,5.36533487947019,5.40401172637939,65,1,0,0,1,0.276565551757813,30.3030319213867,6,1,1,14.0094890594482,0,14.0094890594482,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3863237789.80881,15.0723972320557,25.2842388153076,0.000667369712701857,2.43461692371109E-7,1,5,12.9061126708984,4.97609311664095,36.8800014257431,0.865486251108296,0.12758736908973,1,3.30548839172301E-7,,,,,,,,,,,,,,,,,,,,,15.0723972320557,15.0723972320557,25.2842388153076,25.2842388153076,50.0187538311399,5.36546646439105,5.4795093536377,65,1,0,0,1,0.26702880859375,30.3030319213867,6,1,1,15.0723972320557,0,15.0723972320557,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3863237795.59355,16.0066413879395,25.2842388153076,0.000656791606168129,2.13472888937825E-7,1,5,12.9061126708984,4.97606462898097,36.8800014257431,0.851767677359592,0.125518917499062,1,2.90517262476048E-7,,,,,,,,,,,,,,,,,,,,,16.0066413879395,16.0066413879395,25.2842388153076,25.2842388153076,50.0722953847072,5.36549692679657,5.54573154449463,65,1,0,0,1,0.266799926757813,30.3030319213867,2,1,1,16.0066413879395,0,16.0066413879395,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3863237802.57003,17.1361961364746,25.2842388153076,0.000651603941025773,2.41576190923547E-7,1,5,12.9061126708984,4.97606014747085,36.8800014257431,0.845041936674781,0.124506841468557,1,2.72410289125674E-7,,,,,,,,,,,,,,,,,,,,,17.1361961364746,17.1361961364746,25.2842388153076,25.2842388153076,50.0418118724572,5.36529980095241,5.61140823364258,65,1,0,0,1,0.267333984375,31.2805480957031,2,1,1,17.1361961364746,0,17.1361961364746,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3863237807.94126,18.0164070129395,25.2842388153076,0.00064682589420959,2.11321889813125E-7,1,5,12.9061126708984,4.97607017747565,36.8800014257431,0.838839722839916,0.123649447108201,1,3.12999126817984E-7,,,,,,,,,,,,,,,,,,,,,18.0164070129395,18.0164070129395,25.2842388153076,25.2842388153076,50.0508006004284,5.36535512974631,5.66786098480225,65,1,0,0,1,0.276718139648438,30.3030319213867,2,1,1,18.0164070129395,0,18.0164070129395,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
