[Header]
; MPMS3 Data File (default extension .dat)
; Copyright (c) 2007, Quantum Design, Inc. All rights reserved.
TITLE,
FILEOPENTIME,3863174429.51278,05/31/2022,4:58 pm
BYAPP,MPMS3 w/ AC,1.0,1.1
INFO,MPMS3 Measurement Release 1.1.16 Build 424, MultiVu Release 2.3.4.19,APPNAME
INFO,Linear Motor Servo Controller,MOTOR_MODULE_NAME
INFO,3101-100 N2,MOTOR_HW_VERSION
INFO,,MOTOR_SERIAL_NUMBER
INFO,01.04.28,MOTOR_SOFTWARE_VERSION
INFO,Quantum Design Squid Module,SQUID_MODULE_NAME
INFO,3101-501 B0,SQUID_HW_VERSION
INFO,SQM327,SQUID_SERIAL_NUMBER
INFO,01.03.04,SQUID_SOFTWARE_VERSION
INFO,Quantum Design VSM Oven,OVEN_MODULE_NAME
INFO,3101-201 A3,OVEN_HW_VERSION
INFO,OVB365,OVEN_SERIAL_NUMBER
INFO,01.07.07,OVEN_SOFTWARE_VERSION
INFO,SQUID AC,AC_MODULE_NAME
INFO,3101-401 G0,AC_HW_VERSION
INFO,SAC220,AC_SERIAL_NUMBER
INFO,SQUID AC 00.95.07,AC_SOFTWARE_VERSION
INFO,TCI344,COIL_SERIAL_NUMBER
INFO,0,MOMENT_UNITS
INFO,DA-4A,SAMPLE_MATERIAL
INFO,DA-4A,SAMPLE_COMMENT
INFO,,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,,SAMPLE_MOLECULAR_WEIGHT
INFO,,SAMPLE_SIZE
INFO,,SAMPLE_SHAPE
INFO,Straw,SAMPLE_HOLDER
INFO,Standard,SAMPLE_HOLDER_DETAIL
INFO,63.74,SAMPLE_OFFSET
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
FIELDGROUP, VSM,2,3,4,5,6,8,9,10,11,14,15
FIELDGROUP, DC, 2,3,4,14,56,57,58,59,60,61,62,63,64,65,66,67,68,69
FIELDGROUP, AC, 2,3,4,11,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
STARTUPGROUP, All
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Lockin Signal' (V),Lockin Signal (V),Range,M. Quad. Signal (emu),AC Moment (emu),AC M. Std Err. (emu),AC Phase (deg),AC Phase Std. Err. (deg),AC Susceptibility (emu/Oe),AC Suscept. Std Err. (emu/Oe),AC X' (emu/Oe),AC X' Std Err. (emu/Oe),AC X'' (emu/Oe),AC X'' Std Err. (emu/Oe),AC Drive (Oe),AC Frequency (Hz),AC Averaging Time (sec),AC Cycles,AC Range,AC Measure Type,AC Signal' (V),AC Signal'' (V),AC Trim Coil Ratio,AC Trim Coil Phase,Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),Measure Count,Measurement Number,SQUID Status (code),Motor Status (code),Measure Status (code),Motor Current (amps),Motor Temp. (C),Temp. Status (code),Field Status (code),Chamber Status (code),Chamber Temp (K),Redirection State,Average Temp (K),Rotation Angle (deg),Rotator state,DC Moment Fixed Ctr (emu),DC Moment Err Fixed Ctr (emu),DC Moment Free Ctr (emu),DC Moment Err Free Ctr (emu),DC Fixed Fit,DC Free Fit,DC Calculated Center (mm),DC Calculated Center Err (mm),DC Scan Length (mm),DC Scan Time (s),DC Number of Points,DC Squid Drift,DC Min V (V),DC Max V (V),DC Scans per Measure,Map 01,Map 02,Map 03,Map 04,Map 05,Map 06,Map 07,Map 08,Map 09,Map 10,Map 11,Map 12,Map 13,Map 14,Map 15,Map 16
,3863175991.14409,10.0001840591431,25.3218441009521,0.00169061308372495,1.13023725927948E-7,1,5,12.9061126708984,4.98621482813881,37.1900014579296,2.19896455456446,0.322763154516059,10,-2.17365227528459E-7,,,,,,,,,,,,,,,,,,,,,10.0001840591431,10.0001840591431,25.3218441009521,25.3218441009521,50.0957442402841,5.37476136906372,5.06465196609497,65,1,0,0,1,0.26763916015625,30.3030319213867,1,1,1,10.0001840591431,0,10.0001840591431,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3863175995.87383,10.1981525421143,25.3218441009521,0.00168953344135846,1.27915463795589E-7,1,5,12.9061126708984,4.98614524099934,37.1900014579296,2.19756394650759,0.322232541115205,10,-4.61853414067418E-7,,,,,,,,,,,,,,,,,,,,,10.0041475296021,10.3921575546265,25.3218441009521,25.3218441009521,50.071513756188,5.37538764199195,5.09693908691406,65,1,0,0,1,0.279159545898438,30.3030319213867,6,1,1,10.3921575546265,0,10.1981525421143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3863176002.40202,11.0694646835327,25.3218441009521,0.00168702498978844,1.49040098837479E-7,1,5,12.9061126708984,4.98613698302772,37.1900014579296,2.19429822740336,0.321739014996346,10,-4.72207558064598E-7,,,,,,,,,,,,,,,,,,,,,11.0151968002319,11.1237325668335,25.3218441009521,25.3218441009521,50.2231496889188,5.37554895030792,5.1746973991394,65,1,0,0,1,0.268020629882813,30.3030319213867,6,1,1,11.1237325668335,0,11.0694646835327,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3863176009.22406,12.1072683334351,25.3218441009521,0.00167912621075888,4.19892850742877E-7,1,5,12.9061126708984,4.98618263938277,37.1900014579296,2.18406572588313,0.320146303555037,10,-5.39517771908401E-7,,,,,,,,,,,,,,,,,,,,,12.1072683334351,12.1072683334351,25.3218441009521,25.3218441009521,50.1696081353515,5.37533413490549,5.2460994720459,65,1,0,0,1,0.268402099609375,30.7917900085449,6,1,1,12.1072683334351,0,12.1072683334351,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3863176015.27995,13.0084266662598,25.3218441009521,0.00166191826742272,7.37543292363369E-7,1,5,12.9061126708984,4.98618960706021,37.1900014579296,2.16168182529339,0.316903466420609,10,-5.05195929013287E-7,,,,,,,,,,,,,,,,,,,,,13.0084266662598,13.0084266662598,25.3218441009521,25.3218441009521,50.1422511371784,5.37524920853283,5.31300926208496,65,1,0,0,1,0.269927978515625,30.3030319213867,6,1,1,13.0084266662598,0,13.0084266662598,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3863176022.18685,14.0340003967285,25.3218441009521,0.00163742261277096,9.08879004392065E-7,1,5,12.9061126708984,4.9861998193704,37.1900014579296,2.12982109341061,0.31226740428416,10,-4.71607343358542E-7,,,,,,,,,,,,,,,,,,,,,14.0340003967285,14.0340003967285,25.3218441009521,25.3218441009521,50.1907121053707,5.37532656657588,5.37852096557617,65,1,0,0,1,0.268173217773438,30.7917900085449,6,1,1,14.0340003967285,0,14.0340003967285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3863176028.56576,15.005389213562,25.3218441009521,0.00158178237354087,9.36536777992791E-7,1,5,12.9061126708984,4.98621296656752,37.1900014579296,2.05746105829147,0.301627116286196,10,-4.78985803955226E-7,,,,,,,,,,,,,,,,,,,,,15.005389213562,15.005389213562,25.3218441009521,25.3218441009521,50.1227104241976,5.37546988828391,5.45582342147827,65,1,0,0,1,0.268707275390625,30.3030319213867,6,1,1,15.005389213562,0,15.005389213562,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3863176035.0686,16.0708084106445,25.3218441009521,0.00155482434038807,9.05978148970669E-7,1,5,12.9061126708984,4.98616077307795,37.1900014579296,2.02237807927662,0.296402606957912,10,-5.32002958870066E-7,,,,,,,,,,,,,,,,,,,,,16.0708084106445,16.0708084106445,25.3218441009521,25.3218441009521,50.1313083379091,5.37552976231454,5.52901840209961,65,1,0,0,1,0.278549194335938,30.7917900085449,2,1,1,16.0708084106445,0,16.0708084106445,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3863176040.76015,17.0278091430664,25.3218441009521,0.00152878387636886,8.88429352606476E-7,1,5,12.9061126708984,4.98613393016764,37.1900014579296,1.98849772735598,0.291396613110609,10,-5.5353097197697E-7,,,,,,,,,,,,,,,,,,,,,17.0278091430664,17.0278091430664,25.3218441009521,25.3218441009521,50.193447805188,5.37593646807521,5.58362817764282,65,1,0,0,1,0.268173217773438,30.7917900085449,2,1,1,17.0278091430664,0,17.0278091430664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3863176047.77512,18.0724220275879,25.3218441009521,0.00150313930274462,8.5645690694173E-7,1,5,12.9061126708984,4.98615819629579,37.1900014579296,1.95515819074383,0.286489162635835,10,-5.60682523519146E-7,,,,,,,,,,,,,,,,,,,,,18.0724220275879,18.0724220275879,25.3218441009521,25.3218441009521,50.1926661766688,5.3751565891157,5.64246320724487,65,1,0,0,1,0.2679443359375,30.7917900085449,2,1,1,18.0724220275879,0,18.0724220275879,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
