[Header]
; MPMS3 Data File (default extension .dat)
; Copyright (c) 2007, Quantum Design, Inc. All rights reserved.
TITLE,
FILEOPENTIME,3864030622.93639,06/10/2022,2:48 pm
BYAPP,MPMS3 w/ AC,1.0,1.1
INFO,MPMS3 Measurement Release 1.1.16 Build 424, MultiVu Release 2.3.4.19,APPNAME
INFO,Linear Motor Servo Controller,MOTOR_MODULE_NAME
INFO,3101-100 N2,MOTOR_HW_VERSION
INFO,,MOTOR_SERIAL_NUMBER
INFO,01.04.28,MOTOR_SOFTWARE_VERSION
INFO,Quantum Design Squid Module,SQUID_MODULE_NAME
INFO,3101-501 B0,SQUID_HW_VERSION
INFO,SQM327,SQUID_SERIAL_NUMBER
INFO,01.03.04,SQUID_SOFTWARE_VERSION
INFO,Quantum Design VSM Oven,OVEN_MODULE_NAME
INFO,3101-201 A3,OVEN_HW_VERSION
INFO,OVB365,OVEN_SERIAL_NUMBER
INFO,01.07.07,OVEN_SOFTWARE_VERSION
INFO,SQUID AC,AC_MODULE_NAME
INFO,3101-401 G0,AC_HW_VERSION
INFO,SAC220,AC_SERIAL_NUMBER
INFO,SQUID AC 00.95.07,AC_SOFTWARE_VERSION
INFO,TCI344,COIL_SERIAL_NUMBER
INFO,0,MOMENT_UNITS
INFO,DX1-5r,SAMPLE_MATERIAL
INFO,SSRM2022C,SAMPLE_COMMENT
INFO,,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,,SAMPLE_MOLECULAR_WEIGHT
INFO,,SAMPLE_SIZE
INFO,,SAMPLE_SHAPE
INFO,Straw,SAMPLE_HOLDER
INFO,Standard,SAMPLE_HOLDER_DETAIL
INFO,64.24,SAMPLE_OFFSET
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
FIELDGROUP, VSM,2,3,4,5,6,8,9,10,11,14,15
FIELDGROUP, DC, 2,3,4,14,56,57,58,59,60,61,62,63,64,65,66,67,68,69
FIELDGROUP, AC, 2,3,4,11,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
STARTUPGROUP, All
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Lockin Signal' (V),Lockin Signal (V),Range,M. Quad. Signal (emu),AC Moment (emu),AC M. Std Err. (emu),AC Phase (deg),AC Phase Std. Err. (deg),AC Susceptibility (emu/Oe),AC Suscept. Std Err. (emu/Oe),AC X' (emu/Oe),AC X' Std Err. (emu/Oe),AC X'' (emu/Oe),AC X'' Std Err. (emu/Oe),AC Drive (Oe),AC Frequency (Hz),AC Averaging Time (sec),AC Cycles,AC Range,AC Measure Type,AC Signal' (V),AC Signal'' (V),AC Trim Coil Ratio,AC Trim Coil Phase,Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),Measure Count,Measurement Number,SQUID Status (code),Motor Status (code),Measure Status (code),Motor Current (amps),Motor Temp. (C),Temp. Status (code),Field Status (code),Chamber Status (code),Chamber Temp (K),Redirection State,Average Temp (K),Rotation Angle (deg),Rotator state,DC Moment Fixed Ctr (emu),DC Moment Err Fixed Ctr (emu),DC Moment Free Ctr (emu),DC Moment Err Free Ctr (emu),DC Fixed Fit,DC Free Fit,DC Calculated Center (mm),DC Calculated Center Err (mm),DC Scan Length (mm),DC Scan Time (s),DC Number of Points,DC Squid Drift,DC Min V (V),DC Max V (V),DC Scans per Measure,Map 01,Map 02,Map 03,Map 04,Map 05,Map 06,Map 07,Map 08,Map 09,Map 10,Map 11,Map 12,Map 13,Map 14,Map 15,Map 16
,3864040551.55251,9.99999046325684,25.4346656799316,3.58700624768735E-5,4.71187009810409E-8,1,5,14.0008964538574,5.0001126265888,35.9500013291836,0.0468212717555564,0.00699920143207927,10,-5.46771226344594E-8,,,,,,,,,,,,,,,,,,,,,9.99999046325684,9.99999046325684,25.4346656799316,25.4346656799316,49.6580322695149,5.76068476713765,5.16144943237305,70,1,0,0,1,0.317840576171875,31.2805480957031,1,1,1,9.99999046325684,0,9.99999046325684,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3864040556.46132,10.2905530929565,25.4346656799316,3.58756981069603E-5,3.45444919995544E-8,1,5,14.0008964538574,5.00005450824517,35.9500013291836,0.0468224258210489,0.00703620111302194,10,-2.70883793183403E-8,,,,,,,,,,,,,,,,,,,,,10.0573692321777,10.5237369537354,25.4346656799316,25.4346656799316,49.6826535678706,5.76105125790604,5.21397304534912,70,1,0,0,1,0.315399169921875,31.7693061828613,6,1,1,10.5237369537354,0,10.2905530929565,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3864040588.18859,15.0180177688599,25.4346656799316,3.37663803279018E-5,3.01387098573837E-8,1,5,14.0008964538574,4.99968924934863,35.9500013291836,0.0440666911736896,0.00661052814294269,10,-3.41562913720536E-8,,,,,,,,,,,,,,,,,,,,,15.0180177688599,15.0180177688599,25.4346656799316,25.4346656799316,49.7084473090053,5.76376520323682,5.5625376701355,70,1,0,0,1,0.315628051757812,31.7693061828613,6,1,1,15.0180177688599,0,15.0180177688599,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3864040629.72876,21.6008434295654,25.4346656799316,2.92942256381193E-5,5.46241502372542E-8,1,5,14.0008964538574,4.99967064649583,35.9500013291836,0.0382437117332278,0.00564500813087149,1,-9.8579860116196E-8,,,,,,,,,,,,,,,,,,,,,21.6008434295654,21.6008434295654,25.4346656799316,25.4346656799316,49.7061024234476,5.7637208144471,5.9210262298584,70,1,0,0,1,0.314407348632812,31.7693061828613,2,1,1,21.6008434295654,0,21.6008434295654,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3864040652.2124,25.0326309204102,25.4346656799316,2.76979182845419E-5,5.97929102830661E-8,1,5,14.0008964538574,4.99941764566471,35.9500013291836,0.0361573598956263,0.00533572361458276,1,-9.42022201557083E-8,,,,,,,,,,,,,,,,,,,,,25.0326309204102,25.0326309204102,25.4346656799316,25.4346656799316,49.667020997486,5.76378073450139,6.07294750213623,70,1,0,0,1,0.318145751953125,31.2805480957031,2,1,1,25.0326309204102,0,25.0326309204102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3864040684.03694,30.0216083526611,25.4346656799316,2.53685180128231E-5,3.69703778131433E-8,1,5,14.0008964538574,4.99931836624932,35.9500013291836,0.0331011335654346,0.00498261217596142,1,-1.28843386049693E-8,,,,,,,,,,,,,,,,,,,,,30.0216083526611,30.0216083526611,25.4346656799316,25.4346656799316,49.6963320669572,5.76447986541644,6.23257923126221,70,1,0,0,1,0.316390991210937,32.2580642700195,2,1,1,30.0216083526611,0,30.0216083526611,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3864040716.80365,35.0151863098145,25.4346656799316,2.38149825431547E-5,1.61793526072282E-8,1,5,14.0008964538574,4.99965998574202,35.9500013291836,0.0310811209356105,0.00465089377701218,1,-3.28161962815744E-8,,,,,,,,,,,,,,,,,,,,,35.0151863098145,35.0151863098145,25.4346656799316,25.4346656799316,49.6967228812168,5.7629456895913,6.3555326461792,70,1,0,0,1,0.314483642578125,32.2580642700195,2,1,1,35.0151863098145,0,35.0151863098145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3864040748.54163,40.0058479309082,25.4346656799316,2.24945295407899E-5,5.95312753502851E-8,1,5,14.0008964538574,5.0005440912675,35.9600000083447,0.0293797691935006,0.00429671610092703,1,-1.0561652186107E-7,,,,,,,,,,,,,,,,,,,,,40.0058479309082,40.0058479309082,25.4346656799316,25.4346656799316,49.6545149411783,5.75988332641457,6.45069313049316,70,1,0,0,1,0.325164794921875,32.2580642700195,2,1,1,40.0058479309082,0,40.0058479309082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3864040780.87819,45.0233573913574,25.4346656799316,2.18219462756851E-5,3.4437986649331E-8,1,5,14.0008964538574,5.00040602995972,35.9600000083447,0.028489869752311,0.00423658216829776,1,-4.99737571153344E-8,,,,,,,,,,,,,,,,,,,,,45.0233573913574,45.0233573913574,25.4346656799316,25.4346656799316,49.6662393689668,5.75993375258174,6.54756593704224,70,1,0,0,1,0.327911376953125,32.7468223571777,2,1,1,45.0233573913574,0,45.0233573913574,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3864040811.89777,50.017162322998,25.4346656799316,2.14375356911744E-5,1.12553851158314E-8,1,5,14.0008964538574,5.00036355829021,35.9699986875057,0.0279821457433541,0.00419844589488257,1,-2.10924242172436E-8,,,,,,,,,,,,,,,,,,,,,50.017162322998,50.017162322998,25.4346656799316,25.4346656799316,49.7221258080918,5.760553269107,6.64692306518555,70,1,0,0,1,0.318450927734375,32.7468223571777,2,1,1,50.017162322998,0,50.017162322998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
